CCTV-1,http://123.14.85.78:8888/hls/1/index.m3u8
CCTV-10,http://123.14.85.78:8888/hls/10/index.m3u8
CCTV-11,http://123.14.85.78:8888/hls/11/index.m3u8
CCTV-12,http://123.14.85.78:8888/hls/12/index.m3u8
CCTV-13,http://123.14.85.78:8888/hls/13/index.m3u8
CCTV-14,http://123.14.85.78:8888/hls/14/index.m3u8
CCTV-15,http://123.14.85.78:8888/hls/15/index.m3u8
CCTV-17,http://123.14.85.78:8888/hls/17/index.m3u8
CCTV-2,http://123.14.85.78:8888/hls/2/index.m3u8
CCTV-3,http://123.14.85.78:8888/hls/3/index.m3u8
CCTV-4,http://123.14.85.78:8888/hls/4/index.m3u8
CCTV-5,http://123.14.85.78:8888/hls/5/index.m3u8
CCTV-6,http://123.14.85.78:8888/hls/6/index.m3u8
CCTV-7,http://123.14.85.78:8888/hls/7/index.m3u8
CCTV-8,http://123.14.85.78:8888/hls/8/index.m3u8
CCTV-9,http://123.14.85.78:8888/hls/9/index.m3u8
CGTN,http://123.14.85.78:8888/hls/16/index.m3u8
东南卫视,http://123.14.85.78:8888/hls/36/index.m3u8
东方卫视,http://123.14.85.78:8888/hls/24/index.m3u8
云南卫视,http://123.14.85.78:8888/hls/33/index.m3u8
北京卫视,http://123.14.85.78:8888/hls/23/index.m3u8
四川卫视,http://123.14.85.78:8888/hls/31/index.m3u8
天津卫视,http://123.14.85.78:8888/hls/25/index.m3u8
安徽卫视,http://123.14.85.78:8888/hls/27/index.m3u8
山东卫视,http://123.14.85.78:8888/hls/26/index.m3u8
广东卫视,http://123.14.85.78:8888/hls/38/index.m3u8
广西卫视,http://123.14.85.78:8888/hls/39/index.m3u8
江苏卫视,http://123.14.85.78:8888/hls/21/index.m3u8
江西卫视,http://123.14.85.78:8888/hls/29/index.m3u8
河北卫视,http://123.14.85.78:8888/hls/40/index.m3u8
河南卫视,http://123.14.85.78:8888/hls/19/index.m3u8
浙江卫视,http://123.14.85.78:8888/hls/22/index.m3u8
深圳卫视,http://123.14.85.78:8888/hls/28/index.m3u8
湖北卫视,http://123.14.85.78:8888/hls/30/index.m3u8
湖南卫视,http://123.14.85.78:8888/hls/20/index.m3u8
贵州卫视,http://123.14.85.78:8888/hls/34/index.m3u8
辽宁卫视,http://123.14.85.78:8888/hls/35/index.m3u8
重庆卫视,http://123.14.85.78:8888/hls/37/index.m3u8
黑龙江卫视,http://123.14.85.78:8888/hls/32/index.m3u8

123.14.86.91:8888,#genre#
CCTV-1,http://123.14.86.91:8888/hls/1/index.m3u8
CCTV-10,http://123.14.86.91:8888/hls/10/index.m3u8
CCTV-11,http://123.14.86.91:8888/hls/11/index.m3u8
CCTV-12,http://123.14.86.91:8888/hls/12/index.m3u8
CCTV-13,http://123.14.86.91:8888/hls/13/index.m3u8
CCTV-14,http://123.14.86.91:8888/hls/14/index.m3u8
CCTV-15,http://123.14.86.91:8888/hls/15/index.m3u8
CCTV-17,http://123.14.86.91:8888/hls/17/index.m3u8
CCTV-2,http://123.14.86.91:8888/hls/2/index.m3u8
CCTV-3,http://123.14.86.91:8888/hls/3/index.m3u8
CCTV-4,http://123.14.86.91:8888/hls/4/index.m3u8
CCTV-5,http://123.14.86.91:8888/hls/5/index.m3u8
CCTV-6,http://123.14.86.91:8888/hls/6/index.m3u8
CCTV-7,http://123.14.86.91:8888/hls/7/index.m3u8
CCTV-8,http://123.14.86.91:8888/hls/8/index.m3u8
CCTV-9,http://123.14.86.91:8888/hls/9/index.m3u8
CGTN,http://123.14.86.91:8888/hls/16/index.m3u8
东南卫视,http://123.14.86.91:8888/hls/36/index.m3u8
东方卫视,http://123.14.86.91:8888/hls/24/index.m3u8
云南卫视,http://123.14.86.91:8888/hls/33/index.m3u8
北京卫视,http://123.14.86.91:8888/hls/23/index.m3u8
四川卫视,http://123.14.86.91:8888/hls/31/index.m3u8
天津卫视,http://123.14.86.91:8888/hls/25/index.m3u8
安徽卫视,http://123.14.86.91:8888/hls/27/index.m3u8
山东卫视,http://123.14.86.91:8888/hls/26/index.m3u8
广东卫视,http://123.14.86.91:8888/hls/38/index.m3u8
广西卫视,http://123.14.86.91:8888/hls/39/index.m3u8
江苏卫视,http://123.14.86.91:8888/hls/21/index.m3u8
江西卫视,http://123.14.86.91:8888/hls/29/index.m3u8
河北卫视,http://123.14.86.91:8888/hls/40/index.m3u8
河南卫视,http://123.14.86.91:8888/hls/19/index.m3u8
浙江卫视,http://123.14.86.91:8888/hls/22/index.m3u8
深圳卫视,http://123.14.86.91:8888/hls/28/index.m3u8
湖北卫视,http://123.14.86.91:8888/hls/30/index.m3u8
湖南卫视,http://123.14.86.91:8888/hls/20/index.m3u8
贵州卫视,http://123.14.86.91:8888/hls/34/index.m3u8
辽宁卫视,http://123.14.86.91:8888/hls/35/index.m3u8
重庆卫视,http://123.14.86.91:8888/hls/37/index.m3u8
黑龙江卫视,http://123.14.86.91:8888/hls/32/index.m3u8

123.14.87.13:8888,#genre#
CCTV-1,http://123.14.87.13:8888/hls/1/index.m3u8
CCTV-10,http://123.14.87.13:8888/hls/10/index.m3u8
CCTV-11,http://123.14.87.13:8888/hls/11/index.m3u8
CCTV-12,http://123.14.87.13:8888/hls/12/index.m3u8
CCTV-13,http://123.14.87.13:8888/hls/13/index.m3u8
CCTV-14,http://123.14.87.13:8888/hls/14/index.m3u8
CCTV-15,http://123.14.87.13:8888/hls/15/index.m3u8
CCTV-17,http://123.14.87.13:8888/hls/17/index.m3u8
CCTV-2,http://123.14.87.13:8888/hls/2/index.m3u8
CCTV-3,http://123.14.87.13:8888/hls/3/index.m3u8
CCTV-4,http://123.14.87.13:8888/hls/4/index.m3u8
CCTV-5,http://123.14.87.13:8888/hls/5/index.m3u8
CCTV-6,http://123.14.87.13:8888/hls/6/index.m3u8
CCTV-7,http://123.14.87.13:8888/hls/7/index.m3u8
CCTV-8,http://123.14.87.13:8888/hls/8/index.m3u8
CCTV-9,http://123.14.87.13:8888/hls/9/index.m3u8
CGTN,http://123.14.87.13:8888/hls/16/index.m3u8
东南卫视,http://123.14.87.13:8888/hls/36/index.m3u8
东方卫视,http://123.14.87.13:8888/hls/24/index.m3u8
云南卫视,http://123.14.87.13:8888/hls/33/index.m3u8
北京卫视,http://123.14.87.13:8888/hls/23/index.m3u8
四川卫视,http://123.14.87.13:8888/hls/31/index.m3u8
天津卫视,http://123.14.87.13:8888/hls/25/index.m3u8
安徽卫视,http://123.14.87.13:8888/hls/27/index.m3u8
山东卫视,http://123.14.87.13:8888/hls/26/index.m3u8
广东卫视,http://123.14.87.13:8888/hls/38/index.m3u8
广西卫视,http://123.14.87.13:8888/hls/39/index.m3u8
江苏卫视,http://123.14.87.13:8888/hls/21/index.m3u8
江西卫视,http://123.14.87.13:8888/hls/29/index.m3u8
河北卫视,http://123.14.87.13:8888/hls/40/index.m3u8
河南卫视,http://123.14.87.13:8888/hls/19/index.m3u8
浙江卫视,http://123.14.87.13:8888/hls/22/index.m3u8
深圳卫视,http://123.14.87.13:8888/hls/28/index.m3u8
湖北卫视,http://123.14.87.13:8888/hls/30/index.m3u8
湖南卫视,http://123.14.87.13:8888/hls/20/index.m3u8
贵州卫视,http://123.14.87.13:8888/hls/34/index.m3u8
辽宁卫视,http://123.14.87.13:8888/hls/35/index.m3u8
重庆卫视,http://123.14.87.13:8888/hls/37/index.m3u8
黑龙江卫视,http://123.14.87.13:8888/hls/32/index.m3u8

123.14.87.99:8888,#genre#
CCTV-1,http://123.14.87.99:8888/hls/1/index.m3u8
CCTV-10,http://123.14.87.99:8888/hls/10/index.m3u8
CCTV-11,http://123.14.87.99:8888/hls/11/index.m3u8
CCTV-12,http://123.14.87.99:8888/hls/12/index.m3u8
CCTV-13,http://123.14.87.99:8888/hls/13/index.m3u8
CCTV-14,http://123.14.87.99:8888/hls/14/index.m3u8
CCTV-15,http://123.14.87.99:8888/hls/15/index.m3u8
CCTV-17,http://123.14.87.99:8888/hls/17/index.m3u8
CCTV-2,http://123.14.87.99:8888/hls/2/index.m3u8
CCTV-3,http://123.14.87.99:8888/hls/3/index.m3u8
CCTV-4,http://123.14.87.99:8888/hls/4/index.m3u8
CCTV-5,http://123.14.87.99:8888/hls/5/index.m3u8
CCTV-6,http://123.14.87.99:8888/hls/6/index.m3u8
CCTV-7,http://123.14.87.99:8888/hls/7/index.m3u8
CCTV-8,http://123.14.87.99:8888/hls/8/index.m3u8
CCTV-9,http://123.14.87.99:8888/hls/9/index.m3u8
CGTN,http://123.14.87.99:8888/hls/16/index.m3u8
东南卫视,http://123.14.87.99:8888/hls/36/index.m3u8
东方卫视,http://123.14.87.99:8888/hls/24/index.m3u8
云南卫视,http://123.14.87.99:8888/hls/33/index.m3u8
北京卫视,http://123.14.87.99:8888/hls/23/index.m3u8
四川卫视,http://123.14.87.99:8888/hls/31/index.m3u8
天津卫视,http://123.14.87.99:8888/hls/25/index.m3u8
安徽卫视,http://123.14.87.99:8888/hls/27/index.m3u8
山东卫视,http://123.14.87.99:8888/hls/26/index.m3u8
广东卫视,http://123.14.87.99:8888/hls/38/index.m3u8
广西卫视,http://123.14.87.99:8888/hls/39/index.m3u8
江苏卫视,http://123.14.87.99:8888/hls/21/index.m3u8
江西卫视,http://123.14.87.99:8888/hls/29/index.m3u8
河北卫视,http://123.14.87.99:8888/hls/40/index.m3u8
河南卫视,http://123.14.87.99:8888/hls/19/index.m3u8
浙江卫视,http://123.14.87.99:8888/hls/22/index.m3u8
深圳卫视,http://123.14.87.99:8888/hls/28/index.m3u8
湖北卫视,http://123.14.87.99:8888/hls/30/index.m3u8
湖南卫视,http://123.14.87.99:8888/hls/20/index.m3u8
贵州卫视,http://123.14.87.99:8888/hls/34/index.m3u8
辽宁卫视,http://123.14.87.99:8888/hls/35/index.m3u8
重庆卫视,http://123.14.87.99:8888/hls/37/index.m3u8
黑龙江卫视,http://123.14.87.99:8888/hls/32/index.m3u8

123.14.88.168:8888,#genre#
CCTV-1,http://123.14.88.168:8888/hls/1/index.m3u8
CCTV-10,http://123.14.88.168:8888/hls/10/index.m3u8
CCTV-11,http://123.14.88.168:8888/hls/11/index.m3u8
CCTV-12,http://123.14.88.168:8888/hls/12/index.m3u8
CCTV-13,http://123.14.88.168:8888/hls/13/index.m3u8
CCTV-14,http://123.14.88.168:8888/hls/14/index.m3u8
CCTV-15,http://123.14.88.168:8888/hls/15/index.m3u8
CCTV-17,http://123.14.88.168:8888/hls/17/index.m3u8
CCTV-2,http://123.14.88.168:8888/hls/2/index.m3u8
CCTV-3,http://123.14.88.168:8888/hls/3/index.m3u8
CCTV-4,http://123.14.88.168:8888/hls/4/index.m3u8
CCTV-5,http://123.14.88.168:8888/hls/5/index.m3u8
CCTV-6,http://123.14.88.168:8888/hls/6/index.m3u8
CCTV-7,http://123.14.88.168:8888/hls/7/index.m3u8
CCTV-8,http://123.14.88.168:8888/hls/8/index.m3u8
CCTV-9,http://123.14.88.168:8888/hls/9/index.m3u8
CGTN,http://123.14.88.168:8888/hls/16/index.m3u8
东南卫视,http://123.14.88.168:8888/hls/36/index.m3u8
东方卫视,http://123.14.88.168:8888/hls/24/index.m3u8
云南卫视,http://123.14.88.168:8888/hls/33/index.m3u8
北京卫视,http://123.14.88.168:8888/hls/23/index.m3u8
四川卫视,http://123.14.88.168:8888/hls/31/index.m3u8
天津卫视,http://123.14.88.168:8888/hls/25/index.m3u8
安徽卫视,http://123.14.88.168:8888/hls/27/index.m3u8
山东卫视,http://123.14.88.168:8888/hls/26/index.m3u8
广东卫视,http://123.14.88.168:8888/hls/38/index.m3u8
广西卫视,http://123.14.88.168:8888/hls/39/index.m3u8
江苏卫视,http://123.14.88.168:8888/hls/21/index.m3u8
江西卫视,http://123.14.88.168:8888/hls/29/index.m3u8
河北卫视,http://123.14.88.168:8888/hls/40/index.m3u8
河南卫视,http://123.14.88.168:8888/hls/19/index.m3u8
浙江卫视,http://123.14.88.168:8888/hls/22/index.m3u8
深圳卫视,http://123.14.88.168:8888/hls/28/index.m3u8
湖北卫视,http://123.14.88.168:8888/hls/30/index.m3u8
湖南卫视,http://123.14.88.168:8888/hls/20/index.m3u8
贵州卫视,http://123.14.88.168:8888/hls/34/index.m3u8
辽宁卫视,http://123.14.88.168:8888/hls/35/index.m3u8
重庆卫视,http://123.14.88.168:8888/hls/37/index.m3u8
黑龙江卫视,http://123.14.88.168:8888/hls/32/index.m3u8

123.14.89.120:8888,#genre#
CCTV-1,http://123.14.89.120:8888/hls/1/index.m3u8
CCTV-10,http://123.14.89.120:8888/hls/10/index.m3u8
CCTV-11,http://123.14.89.120:8888/hls/11/index.m3u8
CCTV-12,http://123.14.89.120:8888/hls/12/index.m3u8
CCTV-13,http://123.14.89.120:8888/hls/13/index.m3u8
CCTV-14,http://123.14.89.120:8888/hls/14/index.m3u8
CCTV-15,http://123.14.89.120:8888/hls/15/index.m3u8
CCTV-17,http://123.14.89.120:8888/hls/17/index.m3u8
CCTV-2,http://123.14.89.120:8888/hls/2/index.m3u8
CCTV-3,http://123.14.89.120:8888/hls/3/index.m3u8
CCTV-4,http://123.14.89.120:8888/hls/4/index.m3u8
CCTV-5,http://123.14.89.120:8888/hls/5/index.m3u8
CCTV-6,http://123.14.89.120:8888/hls/6/index.m3u8
CCTV-7,http://123.14.89.120:8888/hls/7/index.m3u8
CCTV-8,http://123.14.89.120:8888/hls/8/index.m3u8
CCTV-9,http://123.14.89.120:8888/hls/9/index.m3u8
CGTN,http://123.14.89.120:8888/hls/16/index.m3u8
东南卫视,http://123.14.89.120:8888/hls/36/index.m3u8
东方卫视,http://123.14.89.120:8888/hls/24/index.m3u8
云南卫视,http://123.14.89.120:8888/hls/33/index.m3u8
北京卫视,http://123.14.89.120:8888/hls/23/index.m3u8
四川卫视,http://123.14.89.120:8888/hls/31/index.m3u8
天津卫视,http://123.14.89.120:8888/hls/25/index.m3u8
安徽卫视,http://123.14.89.120:8888/hls/27/index.m3u8
山东卫视,http://123.14.89.120:8888/hls/26/index.m3u8
广东卫视,http://123.14.89.120:8888/hls/38/index.m3u8
广西卫视,http://123.14.89.120:8888/hls/39/index.m3u8
江苏卫视,http://123.14.89.120:8888/hls/21/index.m3u8
江西卫视,http://123.14.89.120:8888/hls/29/index.m3u8
河北卫视,http://123.14.89.120:8888/hls/40/index.m3u8
河南卫视,http://123.14.89.120:8888/hls/19/index.m3u8
浙江卫视,http://123.14.89.120:8888/hls/22/index.m3u8
深圳卫视,http://123.14.89.120:8888/hls/28/index.m3u8
湖北卫视,http://123.14.89.120:8888/hls/30/index.m3u8
湖南卫视,http://123.14.89.120:8888/hls/20/index.m3u8
贵州卫视,http://123.14.89.120:8888/hls/34/index.m3u8
辽宁卫视,http://123.14.89.120:8888/hls/35/index.m3u8
重庆卫视,http://123.14.89.120:8888/hls/37/index.m3u8
黑龙江卫视,http://123.14.89.120:8888/hls/32/index.m3u8

123.14.89.223:8888,#genre#
CCTV-1,http://123.14.89.223:8888/hls/1/index.m3u8
CCTV-10,http://123.14.89.223:8888/hls/10/index.m3u8
CCTV-11,http://123.14.89.223:8888/hls/11/index.m3u8
CCTV-12,http://123.14.89.223:8888/hls/12/index.m3u8
CCTV-13,http://123.14.89.223:8888/hls/13/index.m3u8
CCTV-14,http://123.14.89.223:8888/hls/14/index.m3u8
CCTV-15,http://123.14.89.223:8888/hls/15/index.m3u8
CCTV-17,http://123.14.89.223:8888/hls/17/index.m3u8
CCTV-2,http://123.14.89.223:8888/hls/2/index.m3u8
CCTV-3,http://123.14.89.223:8888/hls/3/index.m3u8
CCTV-4,http://123.14.89.223:8888/hls/4/index.m3u8
CCTV-5,http://123.14.89.223:8888/hls/5/index.m3u8
CCTV-6,http://123.14.89.223:8888/hls/6/index.m3u8
CCTV-7,http://123.14.89.223:8888/hls/7/index.m3u8
CCTV-8,http://123.14.89.223:8888/hls/8/index.m3u8
CCTV-9,http://123.14.89.223:8888/hls/9/index.m3u8
CGTN,http://123.14.89.223:8888/hls/16/index.m3u8
东南卫视,http://123.14.89.223:8888/hls/36/index.m3u8
东方卫视,http://123.14.89.223:8888/hls/24/index.m3u8
云南卫视,http://123.14.89.223:8888/hls/33/index.m3u8
北京卫视,http://123.14.89.223:8888/hls/23/index.m3u8
四川卫视,http://123.14.89.223:8888/hls/31/index.m3u8
天津卫视,http://123.14.89.223:8888/hls/25/index.m3u8
安徽卫视,http://123.14.89.223:8888/hls/27/index.m3u8
山东卫视,http://123.14.89.223:8888/hls/26/index.m3u8
广东卫视,http://123.14.89.223:8888/hls/38/index.m3u8
广西卫视,http://123.14.89.223:8888/hls/39/index.m3u8
江苏卫视,http://123.14.89.223:8888/hls/21/index.m3u8
江西卫视,http://123.14.89.223:8888/hls/29/index.m3u8
河北卫视,http://123.14.89.223:8888/hls/40/index.m3u8
河南卫视,http://123.14.89.223:8888/hls/19/index.m3u8
浙江卫视,http://123.14.89.223:8888/hls/22/index.m3u8
深圳卫视,http://123.14.89.223:8888/hls/28/index.m3u8
湖北卫视,http://123.14.89.223:8888/hls/30/index.m3u8
湖南卫视,http://123.14.89.223:8888/hls/20/index.m3u8
贵州卫视,http://123.14.89.223:8888/hls/34/index.m3u8
辽宁卫视,http://123.14.89.223:8888/hls/35/index.m3u8
重庆卫视,http://123.14.89.223:8888/hls/37/index.m3u8
黑龙江卫视,http://123.14.89.223:8888/hls/32/index.m3u8

123.14.90.14:8888,#genre#
CCTV-1,http://123.14.90.14:8888/hls/1/index.m3u8
CCTV-10,http://123.14.90.14:8888/hls/10/index.m3u8
CCTV-11,http://123.14.90.14:8888/hls/11/index.m3u8
CCTV-12,http://123.14.90.14:8888/hls/12/index.m3u8
CCTV-13,http://123.14.90.14:8888/hls/13/index.m3u8
CCTV-14,http://123.14.90.14:8888/hls/14/index.m3u8
CCTV-15,http://123.14.90.14:8888/hls/15/index.m3u8
CCTV-17,http://123.14.90.14:8888/hls/17/index.m3u8
CCTV-2,http://123.14.90.14:8888/hls/2/index.m3u8
CCTV-3,http://123.14.90.14:8888/hls/3/index.m3u8
CCTV-4,http://123.14.90.14:8888/hls/4/index.m3u8
CCTV-5,http://123.14.90.14:8888/hls/5/index.m3u8
CCTV-6,http://123.14.90.14:8888/hls/6/index.m3u8
CCTV-7,http://123.14.90.14:8888/hls/7/index.m3u8
CCTV-8,http://123.14.90.14:8888/hls/8/index.m3u8
CCTV-9,http://123.14.90.14:8888/hls/9/index.m3u8
CGTN,http://123.14.90.14:8888/hls/16/index.m3u8
东南卫视,http://123.14.90.14:8888/hls/36/index.m3u8
东方卫视,http://123.14.90.14:8888/hls/24/index.m3u8
云南卫视,http://123.14.90.14:8888/hls/33/index.m3u8
北京卫视,http://123.14.90.14:8888/hls/23/index.m3u8
四川卫视,http://123.14.90.14:8888/hls/31/index.m3u8
天津卫视,http://123.14.90.14:8888/hls/25/index.m3u8
安徽卫视,http://123.14.90.14:8888/hls/27/index.m3u8
山东卫视,http://123.14.90.14:8888/hls/26/index.m3u8
广东卫视,http://123.14.90.14:8888/hls/38/index.m3u8
广西卫视,http://123.14.90.14:8888/hls/39/index.m3u8
江苏卫视,http://123.14.90.14:8888/hls/21/index.m3u8
江西卫视,http://123.14.90.14:8888/hls/29/index.m3u8
河北卫视,http://123.14.90.14:8888/hls/40/index.m3u8
河南卫视,http://123.14.90.14:8888/hls/19/index.m3u8
浙江卫视,http://123.14.90.14:8888/hls/22/index.m3u8
深圳卫视,http://123.14.90.14:8888/hls/28/index.m3u8
湖北卫视,http://123.14.90.14:8888/hls/30/index.m3u8
湖南卫视,http://123.14.90.14:8888/hls/20/index.m3u8
贵州卫视,http://123.14.90.14:8888/hls/34/index.m3u8
辽宁卫视,http://123.14.90.14:8888/hls/35/index.m3u8
重庆卫视,http://123.14.90.14:8888/hls/37/index.m3u8
黑龙江卫视,http://123.14.90.14:8888/hls/32/index.m3u8

123.14.91.174:8888,#genre#
CCTV-1,http://123.14.91.174:8888/hls/1/index.m3u8
CCTV-10,http://123.14.91.174:8888/hls/10/index.m3u8
CCTV-11,http://123.14.91.174:8888/hls/11/index.m3u8
CCTV-12,http://123.14.91.174:8888/hls/12/index.m3u8
CCTV-13,http://123.14.91.174:8888/hls/13/index.m3u8
CCTV-14,http://123.14.91.174:8888/hls/14/index.m3u8
CCTV-15,http://123.14.91.174:8888/hls/15/index.m3u8
CCTV-17,http://123.14.91.174:8888/hls/17/index.m3u8
CCTV-2,http://123.14.91.174:8888/hls/2/index.m3u8
CCTV-3,http://123.14.91.174:8888/hls/3/index.m3u8
CCTV-4,http://123.14.91.174:8888/hls/4/index.m3u8
CCTV-5,http://123.14.91.174:8888/hls/5/index.m3u8
CCTV-6,http://123.14.91.174:8888/hls/6/index.m3u8
CCTV-7,http://123.14.91.174:8888/hls/7/index.m3u8
CCTV-8,http://123.14.91.174:8888/hls/8/index.m3u8
CCTV-9,http://123.14.91.174:8888/hls/9/index.m3u8
CGTN,http://123.14.91.174:8888/hls/16/index.m3u8
东南卫视,http://123.14.91.174:8888/hls/36/index.m3u8
东方卫视,http://123.14.91.174:8888/hls/24/index.m3u8
云南卫视,http://123.14.91.174:8888/hls/33/index.m3u8
北京卫视,http://123.14.91.174:8888/hls/23/index.m3u8
四川卫视,http://123.14.91.174:8888/hls/31/index.m3u8
天津卫视,http://123.14.91.174:8888/hls/25/index.m3u8
安徽卫视,http://123.14.91.174:8888/hls/27/index.m3u8
山东卫视,http://123.14.91.174:8888/hls/26/index.m3u8
广东卫视,http://123.14.91.174:8888/hls/38/index.m3u8
广西卫视,http://123.14.91.174:8888/hls/39/index.m3u8
江苏卫视,http://123.14.91.174:8888/hls/21/index.m3u8
江西卫视,http://123.14.91.174:8888/hls/29/index.m3u8
河北卫视,http://123.14.91.174:8888/hls/40/index.m3u8
河南卫视,http://123.14.91.174:8888/hls/19/index.m3u8
浙江卫视,http://123.14.91.174:8888/hls/22/index.m3u8
深圳卫视,http://123.14.91.174:8888/hls/28/index.m3u8
湖北卫视,http://123.14.91.174:8888/hls/30/index.m3u8
湖南卫视,http://123.14.91.174:8888/hls/20/index.m3u8
贵州卫视,http://123.14.91.174:8888/hls/34/index.m3u8
辽宁卫视,http://123.14.91.174:8888/hls/35/index.m3u8
重庆卫视,http://123.14.91.174:8888/hls/37/index.m3u8
黑龙江卫视,http://123.14.91.174:8888/hls/32/index.m3u8

123.14.92.182:8888,#genre#
CCTV-1,http://123.14.92.182:8888/hls/1/index.m3u8
CCTV-10,http://123.14.92.182:8888/hls/10/index.m3u8
CCTV-11,http://123.14.92.182:8888/hls/11/index.m3u8
CCTV-12,http://123.14.92.182:8888/hls/12/index.m3u8
CCTV-13,http://123.14.92.182:8888/hls/13/index.m3u8
CCTV-14,http://123.14.92.182:8888/hls/14/index.m3u8
CCTV-15,http://123.14.92.182:8888/hls/15/index.m3u8
CCTV-17,http://123.14.92.182:8888/hls/17/index.m3u8
CCTV-2,http://123.14.92.182:8888/hls/2/index.m3u8
CCTV-3,http://123.14.92.182:8888/hls/3/index.m3u8
CCTV-4,http://123.14.92.182:8888/hls/4/index.m3u8
CCTV-5,http://123.14.92.182:8888/hls/5/index.m3u8
CCTV-6,http://123.14.92.182:8888/hls/6/index.m3u8
CCTV-7,http://123.14.92.182:8888/hls/7/index.m3u8
CCTV-8,http://123.14.92.182:8888/hls/8/index.m3u8
CCTV-9,http://123.14.92.182:8888/hls/9/index.m3u8
CGTN,http://123.14.92.182:8888/hls/16/index.m3u8
东南卫视,http://123.14.92.182:8888/hls/36/index.m3u8
东方卫视,http://123.14.92.182:8888/hls/24/index.m3u8
云南卫视,http://123.14.92.182:8888/hls/33/index.m3u8
北京卫视,http://123.14.92.182:8888/hls/23/index.m3u8
四川卫视,http://123.14.92.182:8888/hls/31/index.m3u8
天津卫视,http://123.14.92.182:8888/hls/25/index.m3u8
安徽卫视,http://123.14.92.182:8888/hls/27/index.m3u8
山东卫视,http://123.14.92.182:8888/hls/26/index.m3u8
广东卫视,http://123.14.92.182:8888/hls/38/index.m3u8
广西卫视,http://123.14.92.182:8888/hls/39/index.m3u8
江苏卫视,http://123.14.92.182:8888/hls/21/index.m3u8
江西卫视,http://123.14.92.182:8888/hls/29/index.m3u8
河北卫视,http://123.14.92.182:8888/hls/40/index.m3u8
河南卫视,http://123.14.92.182:8888/hls/19/index.m3u8
浙江卫视,http://123.14.92.182:8888/hls/22/index.m3u8
深圳卫视,http://123.14.92.182:8888/hls/28/index.m3u8
湖北卫视,http://123.14.92.182:8888/hls/30/index.m3u8
湖南卫视,http://123.14.92.182:8888/hls/20/index.m3u8
贵州卫视,http://123.14.92.182:8888/hls/34/index.m3u8
辽宁卫视,http://123.14.92.182:8888/hls/35/index.m3u8
重庆卫视,http://123.14.92.182:8888/hls/37/index.m3u8
黑龙江卫视,http://123.14.92.182:8888/hls/32/index.m3u8

123.14.92.212:8888,#genre#
CCTV-1,http://123.14.92.212:8888/hls/1/index.m3u8
CCTV-10,http://123.14.92.212:8888/hls/10/index.m3u8
CCTV-11,http://123.14.92.212:8888/hls/11/index.m3u8
CCTV-12,http://123.14.92.212:8888/hls/12/index.m3u8
CCTV-13,http://123.14.92.212:8888/hls/13/index.m3u8
CCTV-14,http://123.14.92.212:8888/hls/14/index.m3u8
CCTV-15,http://123.14.92.212:8888/hls/15/index.m3u8
CCTV-17,http://123.14.92.212:8888/hls/17/index.m3u8
CCTV-2,http://123.14.92.212:8888/hls/2/index.m3u8
CCTV-3,http://123.14.92.212:8888/hls/3/index.m3u8
CCTV-4,http://123.14.92.212:8888/hls/4/index.m3u8
CCTV-5,http://123.14.92.212:8888/hls/5/index.m3u8
CCTV-6,http://123.14.92.212:8888/hls/6/index.m3u8
CCTV-7,http://123.14.92.212:8888/hls/7/index.m3u8
CCTV-8,http://123.14.92.212:8888/hls/8/index.m3u8
CCTV-9,http://123.14.92.212:8888/hls/9/index.m3u8
CGTN,http://123.14.92.212:8888/hls/16/index.m3u8
东南卫视,http://123.14.92.212:8888/hls/36/index.m3u8
东方卫视,http://123.14.92.212:8888/hls/24/index.m3u8
云南卫视,http://123.14.92.212:8888/hls/33/index.m3u8
北京卫视,http://123.14.92.212:8888/hls/23/index.m3u8
四川卫视,http://123.14.92.212:8888/hls/31/index.m3u8
天津卫视,http://123.14.92.212:8888/hls/25/index.m3u8
安徽卫视,http://123.14.92.212:8888/hls/27/index.m3u8
山东卫视,http://123.14.92.212:8888/hls/26/index.m3u8
广东卫视,http://123.14.92.212:8888/hls/38/index.m3u8
广西卫视,http://123.14.92.212:8888/hls/39/index.m3u8
江苏卫视,http://123.14.92.212:8888/hls/21/index.m3u8
江西卫视,http://123.14.92.212:8888/hls/29/index.m3u8
河北卫视,http://123.14.92.212:8888/hls/40/index.m3u8
河南卫视,http://123.14.92.212:8888/hls/19/index.m3u8
浙江卫视,http://123.14.92.212:8888/hls/22/index.m3u8
深圳卫视,http://123.14.92.212:8888/hls/28/index.m3u8
湖北卫视,http://123.14.92.212:8888/hls/30/index.m3u8
湖南卫视,http://123.14.92.212:8888/hls/20/index.m3u8
贵州卫视,http://123.14.92.212:8888/hls/34/index.m3u8
辽宁卫视,http://123.14.92.212:8888/hls/35/index.m3u8
重庆卫视,http://123.14.92.212:8888/hls/37/index.m3u8
黑龙江卫视,http://123.14.92.212:8888/hls/32/index.m3u8

123.14.92.217:8888,#genre#
CCTV-1,http://123.14.92.217:8888/hls/1/index.m3u8
CCTV-10,http://123.14.92.217:8888/hls/10/index.m3u8
CCTV-11,http://123.14.92.217:8888/hls/11/index.m3u8
CCTV-12,http://123.14.92.217:8888/hls/12/index.m3u8
CCTV-13,http://123.14.92.217:8888/hls/13/index.m3u8
CCTV-14,http://123.14.92.217:8888/hls/14/index.m3u8
